Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Calcule I/L e S/I para L=5.98 mm, I=4.75 mm, S=3.84 mm.	I/L = 4.75/5.98 = 0.79; S/I = 3.84/4.75 = 0.81. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.94 mm, I=1.37 mm, S=1.28 mm.	I/L = 1.37/1.94 = 0.71; S/I = 1.28/1.37 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.98 mm, I=3.14 mm, S=2.59 mm.	I/L = 3.14/3.98 = 0.79; S/I = 2.59/3.14 = 0.82. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.47 mm, I=1.18 mm, S=0.83 mm.	I/L = 1.18/1.47 = 0.80; S/I = 0.83/1.18 = 0.70. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.29 mm, I=3.47 mm, S=3.23 mm.	I/L = 3.47/5.29 = 0.66; S/I = 3.23/3.47 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.58 mm, I=1.05 mm, S=0.78 mm.	I/L = 1.05/1.58 = 0.66; S/I = 0.78/1.05 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.44 mm, I=3.03 mm, S=1.55 mm.	I/L = 3.03/4.44 = 0.68; S/I = 1.55/3.03 = 0.51. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.47 mm, I=3.75 mm, S=2.8 mm.	I/L = 3.75/5.47 = 0.69; S/I = 2.8/3.75 = 0.75. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.17 mm, I=3.11 mm, S=2.31 mm.	I/L = 3.11/4.17 = 0.75; S/I = 2.31/3.11 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.71 mm, I=3.44 mm, S=1.9 mm.	I/L = 3.44/3.71 = 0.93; S/I = 1.9/3.44 = 0.55. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.64 mm, I=3.17 mm, S=2.05 mm.	I/L = 3.17/4.64 = 0.68; S/I = 2.05/3.17 = 0.65. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.42 mm, I=3.12 mm, S=1.9 mm.	I/L = 3.12/4.42 = 0.71; S/I = 1.9/3.12 = 0.61. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.81 mm, I=3.01 mm, S=2.04 mm.	I/L = 3.01/4.81 = 0.63; S/I = 2.04/3.01 = 0.68. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.99 mm, I=5.68 mm, S=2.76 mm.	I/L = 5.68/5.99 = 0.95; S/I = 2.76/5.68 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.22 mm, I=1.54 mm, S=1.41 mm.	I/L = 1.54/2.22 = 0.69; S/I = 1.41/1.54 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.43 mm, I=4.93 mm, S=3.13 mm.	I/L = 4.93/5.43 = 0.91; S/I = 3.13/4.93 = 0.63. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.96 mm, I=1.75 mm, S=1.4 mm.	I/L = 1.75/1.96 = 0.89; S/I = 1.4/1.75 = 0.80. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.14 mm, I=3.91 mm, S=3.04 mm.	I/L = 3.91/4.14 = 0.94; S/I = 3.04/3.91 = 0.78. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.24 mm, I=1.1 mm, S=0.66 mm.	I/L = 1.1/1.24 = 0.89; S/I = 0.66/1.1 = 0.60. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.38 mm, I=4.07 mm, S=2.1 mm.	I/L = 4.07/4.38 = 0.93; S/I = 2.1/4.07 = 0.52. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.75 mm, I=1.12 mm, S=0.81 mm.	I/L = 1.12/1.75 = 0.64; S/I = 0.81/1.12 = 0.72. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.51 mm, I=2.04 mm, S=1.65 mm.	I/L = 2.04/2.51 = 0.81; S/I = 1.65/2.04 = 0.81. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.18 mm, I=1.79 mm, S=1.04 mm.	I/L = 1.79/2.18 = 0.82; S/I = 1.04/1.79 = 0.58. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.54 mm, I=3.25 mm, S=2.84 mm.	I/L = 3.25/3.54 = 0.92; S/I = 2.84/3.25 = 0.87. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.64 mm, I=1.23 mm, S=0.72 mm.	I/L = 1.23/1.64 = 0.75; S/I = 0.72/1.23 = 0.59. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.22 mm, I=1.06 mm, S=0.81 mm.	I/L = 1.06/1.22 = 0.87; S/I = 0.81/1.06 = 0.76. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.46 mm, I=2.11 mm, S=1.53 mm.	I/L = 2.11/2.46 = 0.86; S/I = 1.53/2.11 = 0.73. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.25 mm, I=1.96 mm, S=0.96 mm.	I/L = 1.96/3.25 = 0.60; S/I = 0.96/1.96 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.44 mm, I=4.99 mm, S=3.61 mm.	I/L = 4.99/5.44 = 0.92; S/I = 3.61/4.99 = 0.72. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.21 mm, I=4.19 mm, S=2.2 mm.	I/L = 4.19/5.21 = 0.80; S/I = 2.2/4.19 = 0.53. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.81 mm, I=1.28 mm, S=1.15 mm.	I/L = 1.28/1.81 = 0.71; S/I = 1.15/1.28 = 0.90. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.02 mm, I=4.52 mm, S=4.07 mm.	I/L = 4.52/5.02 = 0.90; S/I = 4.07/4.52 = 0.90. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.21 mm, I=1.52 mm, S=0.76 mm.	I/L = 1.52/2.21 = 0.69; S/I = 0.76/1.52 = 0.50. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.94 mm, I=4.49 mm, S=2.93 mm.	I/L = 4.49/4.94 = 0.91; S/I = 2.93/4.49 = 0.65. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.18 mm, I=2.73 mm, S=2.5 mm.	I/L = 2.73/4.18 = 0.65; S/I = 2.5/2.73 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.35 mm, I=5.04 mm, S=4.31 mm.	I/L = 5.04/5.35 = 0.94; S/I = 4.31/5.04 = 0.86. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.43 mm, I=3.31 mm, S=2.71 mm.	I/L = 3.31/5.43 = 0.61; S/I = 2.71/3.31 = 0.82. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.79 mm, I=2.58 mm, S=2.2 mm.	I/L = 2.58/2.79 = 0.92; S/I = 2.2/2.58 = 0.85. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.35 mm, I=4.73 mm, S=2.76 mm.	I/L = 4.73/5.35 = 0.88; S/I = 2.76/4.73 = 0.58. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.98 mm, I=3.18 mm, S=2.82 mm.	I/L = 3.18/4.98 = 0.64; S/I = 2.82/3.18 = 0.89. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.32 mm, I=3.61 mm, S=3.1 mm.	I/L = 3.61/5.32 = 0.68; S/I = 3.1/3.61 = 0.86. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.41 mm, I=2.41 mm, S=2.04 mm.	I/L = 2.41/3.41 = 0.71; S/I = 2.04/2.41 = 0.85. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.29 mm, I=1.39 mm, S=0.76 mm.	I/L = 1.39/2.29 = 0.61; S/I = 0.76/1.39 = 0.55. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.78 mm, I=2.51 mm, S=2.34 mm.	I/L = 2.51/2.78 = 0.90; S/I = 2.34/2.51 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.54 mm, I=2.09 mm, S=1.36 mm.	I/L = 2.09/2.54 = 0.82; S/I = 1.36/2.09 = 0.65. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.91 mm, I=4.66 mm, S=4.29 mm.	I/L = 4.66/5.91 = 0.79; S/I = 4.29/4.66 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.75 mm, I=1.64 mm, S=0.88 mm.	I/L = 1.64/1.75 = 0.94; S/I = 0.88/1.64 = 0.54. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.82 mm, I=4.03 mm, S=2.03 mm.	I/L = 4.03/5.82 = 0.69; S/I = 2.03/4.03 = 0.50. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.29 mm, I=2.81 mm, S=1.71 mm.	I/L = 2.81/3.29 = 0.85; S/I = 1.71/2.81 = 0.61. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.11 mm, I=3.2 mm, S=2.06 mm.	I/L = 3.2/4.11 = 0.78; S/I = 2.06/3.2 = 0.64. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.97 mm, I=2.74 mm, S=2.2 mm.	I/L = 2.74/3.97 = 0.69; S/I = 2.2/2.74 = 0.80. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.21 mm, I=1.12 mm, S=0.81 mm.	I/L = 1.12/1.21 = 0.93; S/I = 0.81/1.12 = 0.72. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.65 mm, I=4.0 mm, S=3.14 mm.	I/L = 4.0/4.65 = 0.86; S/I = 3.14/4.0 = 0.79. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.95 mm, I=1.84 mm, S=1.44 mm.	I/L = 1.84/2.95 = 0.62; S/I = 1.44/1.84 = 0.78. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.78 mm, I=1.97 mm, S=1.72 mm.	I/L = 1.97/2.78 = 0.71; S/I = 1.72/1.97 = 0.87. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.65 mm, I=3.28 mm, S=1.98 mm.	I/L = 3.28/4.65 = 0.71; S/I = 1.98/3.28 = 0.60. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.16 mm, I=2.34 mm, S=1.4 mm.	I/L = 2.34/3.16 = 0.74; S/I = 1.4/2.34 = 0.60. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.81 mm, I=1.35 mm, S=1.24 mm.	I/L = 1.35/1.81 = 0.75; S/I = 1.24/1.35 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.45 mm, I=4.08 mm, S=3.09 mm.	I/L = 4.08/4.45 = 0.92; S/I = 3.09/4.08 = 0.76. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.64 mm, I=2.09 mm, S=0.94 mm.	I/L = 2.09/2.64 = 0.79; S/I = 0.94/2.09 = 0.45. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.58 mm, I=1.94 mm, S=1.44 mm.	I/L = 1.94/2.58 = 0.75; S/I = 1.44/1.94 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.34 mm, I=3.31 mm, S=2.22 mm.	I/L = 3.31/4.34 = 0.76; S/I = 2.22/3.31 = 0.67. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.23 mm, I=1.71 mm, S=1.54 mm.	I/L = 1.71/2.23 = 0.77; S/I = 1.54/1.71 = 0.90. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.02 mm, I=3.31 mm, S=1.63 mm.	I/L = 3.31/5.02 = 0.66; S/I = 1.63/3.31 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.67 mm, I=3.02 mm, S=1.87 mm.	I/L = 3.02/3.67 = 0.82; S/I = 1.87/3.02 = 0.62. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.13 mm, I=4.43 mm, S=3.48 mm.	I/L = 4.43/5.13 = 0.86; S/I = 3.48/4.43 = 0.79. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.28 mm, I=1.53 mm, S=0.71 mm.	I/L = 1.53/2.28 = 0.67; S/I = 0.71/1.53 = 0.46. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.38 mm, I=1.82 mm, S=1.59 mm.	I/L = 1.82/2.38 = 0.76; S/I = 1.59/1.82 = 0.87. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.55 mm, I=1.15 mm, S=0.88 mm.	I/L = 1.15/1.55 = 0.74; S/I = 0.88/1.15 = 0.77. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.13 mm, I=1.8 mm, S=1.25 mm.	I/L = 1.8/2.13 = 0.85; S/I = 1.25/1.8 = 0.69. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.37 mm, I=1.97 mm, S=0.89 mm.	I/L = 1.97/2.37 = 0.83; S/I = 0.89/1.97 = 0.45. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.8 mm, I=4.17 mm, S=2.1 mm.	I/L = 4.17/4.8 = 0.87; S/I = 2.1/4.17 = 0.50. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.24 mm, I=2.14 mm, S=1.99 mm.	I/L = 2.14/3.24 = 0.66; S/I = 1.99/2.14 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.69 mm, I=2.28 mm, S=1.31 mm.	I/L = 2.28/3.69 = 0.62; S/I = 1.31/2.28 = 0.57. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.27 mm, I=4.0 mm, S=3.4 mm.	I/L = 4.0/5.27 = 0.76; S/I = 3.4/4.0 = 0.85. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.4 mm, I=4.16 mm, S=3.11 mm.	I/L = 4.16/4.4 = 0.95; S/I = 3.11/4.16 = 0.75. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.76 mm, I=5.25 mm, S=3.97 mm.	I/L = 5.25/5.76 = 0.91; S/I = 3.97/5.25 = 0.76. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.65 mm, I=3.61 mm, S=3.12 mm.	I/L = 3.61/4.65 = 0.78; S/I = 3.12/3.61 = 0.86. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.83 mm, I=3.5 mm, S=2.88 mm.	I/L = 3.5/3.83 = 0.91; S/I = 2.88/3.5 = 0.82. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.48 mm, I=2.4 mm, S=1.38 mm.	I/L = 2.4/3.48 = 0.69; S/I = 1.38/2.4 = 0.57. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.26 mm, I=3.7 mm, S=2.63 mm.	I/L = 3.7/4.26 = 0.87; S/I = 2.63/3.7 = 0.71. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.21 mm, I=2.93 mm, S=1.43 mm.	I/L = 2.93/4.21 = 0.70; S/I = 1.43/2.93 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.57 mm, I=1.79 mm, S=1.09 mm.	I/L = 1.79/2.57 = 0.70; S/I = 1.09/1.79 = 0.61. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.79 mm, I=2.46 mm, S=1.39 mm.	I/L = 2.46/3.79 = 0.65; S/I = 1.39/2.46 = 0.57. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.53 mm, I=3.84 mm, S=1.85 mm.	I/L = 3.84/4.53 = 0.85; S/I = 1.85/3.84 = 0.48. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.16 mm, I=2.5 mm, S=1.64 mm.	I/L = 2.5/3.16 = 0.79; S/I = 1.64/2.5 = 0.66. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.19 mm, I=1.64 mm, S=1.48 mm.	I/L = 1.64/2.19 = 0.75; S/I = 1.48/1.64 = 0.90. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.0 mm, I=3.37 mm, S=2.96 mm.	I/L = 3.37/4.0 = 0.84; S/I = 2.96/3.37 = 0.88. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.87 mm, I=3.57 mm, S=1.62 mm.	I/L = 3.57/4.87 = 0.73; S/I = 1.62/3.57 = 0.45. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.89 mm, I=2.5 mm, S=2.19 mm.	I/L = 2.5/2.89 = 0.87; S/I = 2.19/2.5 = 0.88. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.78 mm, I=4.32 mm, S=3.56 mm.	I/L = 4.32/5.78 = 0.75; S/I = 3.56/4.32 = 0.82. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.82 mm, I=3.1 mm, S=1.74 mm.	I/L = 3.1/3.82 = 0.81; S/I = 1.74/3.1 = 0.56. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.25 mm, I=1.69 mm, S=0.79 mm.	I/L = 1.69/2.25 = 0.75; S/I = 0.79/1.69 = 0.47. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.81 mm, I=2.35 mm, S=1.53 mm.	I/L = 2.35/2.81 = 0.84; S/I = 1.53/2.35 = 0.65. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.99 mm, I=1.52 mm, S=0.78 mm.	I/L = 1.52/1.99 = 0.76; S/I = 0.78/1.52 = 0.51. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.19 mm, I=2.55 mm, S=1.65 mm.	I/L = 2.55/4.19 = 0.61; S/I = 1.65/2.55 = 0.65. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.91 mm, I=2.38 mm, S=1.84 mm.	I/L = 2.38/3.91 = 0.61; S/I = 1.84/2.38 = 0.77. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.85 mm, I=1.41 mm, S=0.67 mm.	I/L = 1.41/1.85 = 0.76; S/I = 0.67/1.41 = 0.48. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.02 mm, I=2.04 mm, S=1.25 mm.	I/L = 2.04/3.02 = 0.68; S/I = 1.25/2.04 = 0.61. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.85 mm, I=3.55 mm, S=2.93 mm.	I/L = 3.55/4.85 = 0.73; S/I = 2.93/3.55 = 0.83. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.19 mm, I=3.57 mm, S=1.75 mm.	I/L = 3.57/5.19 = 0.69; S/I = 1.75/3.57 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.29 mm, I=1.02 mm, S=0.97 mm.	I/L = 1.02/1.29 = 0.79; S/I = 0.97/1.02 = 0.95. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.88 mm, I=2.38 mm, S=2.0 mm.	I/L = 2.38/2.88 = 0.83; S/I = 2.0/2.38 = 0.84. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.33 mm, I=3.74 mm, S=3.46 mm.	I/L = 3.74/4.33 = 0.86; S/I = 3.46/3.74 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.16 mm, I=1.31 mm, S=0.69 mm.	I/L = 1.31/2.16 = 0.61; S/I = 0.69/1.31 = 0.53. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.81 mm, I=1.51 mm, S=1.11 mm.	I/L = 1.51/1.81 = 0.83; S/I = 1.11/1.51 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.25 mm, I=1.9 mm, S=1.58 mm.	I/L = 1.9/2.25 = 0.84; S/I = 1.58/1.9 = 0.83. Interpretar no gráfico de Zingg para classificar a forma.
